NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1   77.98   83.07     1     1    o 
  2   176.58   176.75     1     1    o 
  3   71.79   81.87     1     1    o 
  4   144.50   146.54     1     1    o 
  5   19.62   48.11     1     1    o 
  6   106.39   111.06     1     1    o 
  7   115.54   121.91     1     1    o 
  8   178.36   181.29     1     1    o 
  9   137.78   144.46     1     1    o 
 10   40.57   53.41     1     1    o 
 11   91.20   91.38     1     1    o 
 12   62.04   78.54     1     1    o 
 13   55.11   55.98     1     1    o 
 14   191.87   192.87     1     1    o 
 15   97.52   102.92     1     1    o 
 16   186.19   190.95     1     1    o 
 17   111.14   112.25     1     1    o 
 18   60.98   61.35     1     1    o 
 19   99.30   109.44     1     1    o 
 20   228.59   228.65     1     1    o 
 21   46.38   41.80     2     2    o 
 22   42.66   26.51     2     2    o 
 23   40.26    6.80     2     2    o 
 24   160.18   154.81     2     2    o 
 25   198.96   196.62     2     2    o 
 26   65.27   57.96     2     2    o 
 27   115.30   112.08     2     2    o 
 28   188.52   184.33     2     2    o 
 29   57.58   35.14     2     2    o 
 30   124.72   124.10     2     2    o 
 31   56.54   53.33     2     2    o 
 32   82.01   81.20     2     2    o 
 33   155.51   150.06     2     2    o 
 34   144.12   141.06     2     2    o 
 35   180.37   178.95     2     2    o 
 36   105.41   100.71     2     2    o 
 37   180.67   179.04     2     2    o 
 38   156.70   157.58     1     2    x 
 39   47.27   30.23     2     2    o 
 40   40.22    9.93     2     2    o 
------- recog. rate = 97.50 --------
