NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1    8.40   36.09     1     1    o 
  2   35.25   18.93     2     1    x 
  3    7.58   34.83     1     1    o 
  4   15.69   40.12     1     1    o 
  5   13.29   46.66     1     1    o 
  6   15.16   25.86     1     1    o 
  7   19.34   49.95     1     1    o 
  8   24.33   26.12     1     1    o 
  9   14.52   36.68     1     1    o 
 10    4.76   31.68     1     1    o 
 11   13.11   26.18     1     1    o 
 12   23.36   56.30     1     1    o 
 13   12.40   23.07     1     1    o 
 14   33.25   21.46     2     1    x 
 15   12.56   41.91     1     1    o 
 16   20.28   34.61     1     1    o 
 17   24.81   16.42     2     1    x 
 18   21.67   14.13     2     1    x 
 19   24.86   56.98     1     1    o 
 20   42.12   24.14     2     1    x 
 21   19.95   14.59     2     2    o 
 22   31.31    3.60     2     2    o 
 23   40.21    6.77     2     2    o 
 24   56.65   26.45     2     2    o 
 25   50.66   24.39     2     2    o 
 26   35.26    6.25     2     2    o 
 27   22.07   18.96     2     2    o 
 28   58.04   28.82     2     2    o 
 29   45.19   12.10     2     2    o 
 30   15.92   27.58     1     2    x 
 31   26.72    9.14     2     2    o 
 32   14.89   22.80     1     2    x 
 33   33.47   16.33     2     2    o 
 34   43.62   16.71     2     2    o 
 35   21.37   30.14     1     2    x 
 36   40.60   12.09     2     2    o 
 37   44.02   19.94     2     2    o 
 38   16.52   37.23     1     2    x 
 39   38.88    6.19     2     2    o 
 40   39.94    6.54     2     2    o 
------- recog. rate = 77.50 --------
