NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1    2.26   11.45     1     1    o 
  2    6.92   11.78     1     1    o 
  3    2.87   20.10     1     1    o 
  4    5.13   13.93     1     1    o 
  5    2.88   24.24     1     1    o 
  6    1.85   14.70     1     1    o 
  7    7.40   24.77     1     1    o 
  8    7.65   17.29     1     1    o 
  9    2.37   24.75     1     1    o 
 10    2.87   15.96     1     1    o 
 11    7.87    0.66     2     1    x 
 12    4.01   32.34     1     1    o 
 13    4.07    4.38     1     1    o 
 14    3.66   15.72     1     1    o 
 15    3.13   16.84     1     1    o 
 16    8.04   24.05     1     1    o 
 17    7.20    8.63     1     1    o 
 18    7.14    3.55     2     1    x 
 19    6.19   32.25     1     1    o 
 20   12.69   12.16     2     1    x 
 21    9.88    3.02     2     2    o 
 22    9.15    2.98     2     2    o 
 23    0.38    4.32     1     2    x 
 24   21.65    2.06     2     2    o 
 25   21.57    2.62     2     2    o 
 26    7.83    8.42     1     2    x 
 27   13.36    5.19     2     2    o 
 28   24.35    3.29     2     2    o 
 29    6.33    1.79     2     2    o 
 30   11.39    3.33     2     2    o 
 31   12.54    4.51     2     2    o 
 32    7.15    2.92     2     2    o 
 33   19.08    0.52     2     2    o 
 34   14.78    1.39     2     2    o 
 35   15.46    2.49     2     2    o 
 36   10.49    3.26     2     2    o 
 37   16.73    5.40     2     2    o 
 38    6.95   10.13     1     2    x 
 39    3.19    6.10     1     2    x 
 40    0.67    4.94     1     2    x 
------- recog. rate = 80.00 --------
