NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1    1.00    0.94     1     1    o 
  2    0.96    1.00     2     1    x 
  3    1.00    0.91     1     1    o 
  4    1.00    0.95     1     1    o 
  5    0.99    0.89     1     1    o 
  6    1.00    0.95     1     1    o 
  7    1.00    0.91     1     1    o 
  8    1.00    0.95     1     1    o 
  9    1.00    0.89     1     1    o 
 10    1.00    0.93     1     1    o 
 11    0.99    0.97     1     1    o 
 12    0.99    0.86     1     1    o 
 13    0.99    0.97     1     1    o 
 14    0.98    0.99     2     1    x 
 15    1.00    0.93     1     1    o 
 16    1.00    0.90     1     1    o 
 17    0.98    0.98     2     1    x 
 18    0.98    0.98     2     1    x 
 19    0.99    0.88     1     1    o 
 20    0.95    1.00     2     1    x 
 21    0.98    0.99     2     2    o 
 22    0.94    1.00     2     2    o 
 23    0.90    1.00     2     2    o 
 24    0.79    0.96     2     2    o 
 25    0.86    0.99     2     2    o 
 26    0.93    1.00     2     2    o 
 27    0.97    0.99     2     2    o 
 28    0.78    0.95     2     2    o 
 29    0.87    0.99     2     2    o 
 30    0.99    0.97     1     2    x 
 31    0.96    0.99     2     2    o 
 32    0.99    0.98     1     2    x 
 33    0.94    1.00     2     2    o 
 34    0.90    1.00     2     2    o 
 35    0.98    0.98     1     2    x 
 36    0.91    1.00     2     2    o 
 37    0.91    1.00     2     2    o 
 38    1.00    0.96     1     2    x 
 39    0.91    1.00     2     2    o 
 40    0.90    1.00     2     2    o 
------- recog. rate = 77.50 --------
