NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1   77.98   70.04     2     1    x 
  2   176.58   319.23     1     1    o 
  3   71.79   217.63     1     1    o 
  4   144.50   22.24     2     1    x 
  5   19.62   134.28     1     1    o 
  6   106.39   251.05     1     1    o 
  7   115.54   45.32     2     1    x 
  8   178.36   322.72     1     1    o 
  9   137.78   283.41     1     1    o 
 10   40.57   186.26     1     1    o 
 11   91.20   55.08     2     1    x 
 12   62.04   96.38     1     1    o 
 13   55.11   91.32     1     1    o 
 14   191.87   335.15     1     1    o 
 15   97.52   54.25     2     1    x 
 16   186.19   331.41     1     1    o 
 17   111.14   253.99     1     1    o 
 18   60.98   202.35     1     1    o 
 19   99.30   63.46     2     1    x 
 20   228.59   371.31     1     1    o 
 21   184.46   41.80     2     2    o 
 22   172.19   26.51     2     2    o 
 23   146.55    6.80     2     2    o 
 24   40.25   154.81     1     2    x 
 25   60.03   196.62     1     2    x 
 26   89.29   57.96     2     2    o 
 27   256.13   112.08     2     2    o 
 28   55.10   184.33     1     2    x 
 29   180.70   35.14     2     2    o 
 30   266.76   124.10     2     2    o 
 31   92.87   53.33     2     2    o 
 32   223.41   81.20     2     2    o 
 33   295.37   150.06     2     2    o 
 34   26.44   141.06     1     2    x 
 35   322.45   178.95     2     2    o 
 36   50.67   100.71     1     2    x 
 37   42.07   179.04     1     2    x 
 38   299.38   157.58     2     2    o 
 39   117.69   30.23     2     2    o 
 40   139.75    9.93     2     2    o 
------- recog. rate = 70.00 --------
