NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1    8.40   21.41     1     1    o 
  2   35.25   35.59     1     1    o 
  3    7.58   29.68     1     1    o 
  4   15.69   22.24     1     1    o 
  5   13.29   34.51     1     1    o 
  6   15.16   27.69     1     1    o 
  7   19.34   33.70     1     1    o 
  8   24.33   34.14     1     1    o 
  9   14.52   35.12     1     1    o 
 10    4.76   25.49     1     1    o 
 11   13.11   11.07     2     1    x 
 12   23.36   42.02     1     1    o 
 13   12.40   12.14     2     1    x 
 14   33.25   36.23     1     1    o 
 15   12.56   26.19     1     1    o 
 16   20.28   37.36     1     1    o 
 17   24.81   27.00     1     1    o 
 18   21.67   21.46     2     1    x 
 19   24.86   41.43     1     1    o 
 20   42.12   42.36     1     1    o 
 21   19.94   14.59     2     2    o 
 22   24.24    3.60     2     2    o 
 23   29.45    6.77     2     2    o 
 24   39.39   26.45     2     2    o 
 25   31.83   24.39     2     2    o 
 26   21.80    6.25     2     2    o 
 27   27.23   18.96     2     2    o 
 28   40.04   28.82     2     2    o 
 29   35.42   12.10     2     2    o 
 30   28.74   27.58     2     2    o 
 31   14.82    9.14     2     2    o 
 32   23.71   22.80     2     2    o 
 33   34.25   16.33     2     2    o 
 34   26.12   16.71     2     2    o 
 35   34.38   30.14     2     2    o 
 36   24.71   12.09     2     2    o 
 37   25.17   19.94     2     2    o 
 38   34.93   37.23     1     2    x 
 39   26.70    6.19     2     2    o 
 40   28.84    6.54     2     2    o 
------- recog. rate = 90.00 --------
