NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1    2.26    9.58     1     1    o 
  2    6.92   14.24     1     1    o 
  3    2.87   21.22     1     1    o 
  4    5.13    8.53     1     1    o 
  5    2.88   22.58     1     1    o 
  6    1.85   20.15     1     1    o 
  7    7.40   16.01     1     1    o 
  8    7.65   22.89     1     1    o 
  9    2.37   27.70     1     1    o 
 10    2.87   17.24     1     1    o 
 11    7.87    3.02     2     1    x 
 12    4.01   25.39     1     1    o 
 13    4.07    7.40     1     1    o 
 14    3.66   17.85     1     1    o 
 15    3.13   13.00     1     1    o 
 16    8.04   29.68     1     1    o 
 17    7.20   13.49     1     1    o 
 18    7.14    9.22     1     1    o 
 19    6.19   22.62     1     1    o 
 20   12.69   17.16     1     1    o 
 21   11.82    3.02     2     2    o 
 22   17.45    2.98     2     2    o 
 23   20.35    4.32     2     2    o 
 24    1.14    2.06     1     2    x 
 25   10.12    2.62     2     2    o 
 26   12.32    8.42     2     2    o 
 27   15.38    5.19     2     2    o 
 28    4.17    3.29     2     2    o 
 29   21.05    1.79     2     2    o 
 30    9.44    3.33     2     2    o 
 31    8.05    4.51     2     2    o 
 32    8.17    2.92     2     2    o 
 33   26.87    0.52     2     2    o 
 34   13.72    1.39     2     2    o 
 35   15.21    2.49     2     2    o 
 36   14.62    3.26     2     2    o 
 37   11.85    5.40     2     2    o 
 38   11.48   10.13     2     2    o 
 39   17.30    6.10     2     2    o 
 40   19.67    4.94     2     2    o 
------- recog. rate = 95.00 --------
