NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1    1.00    0.88     1     1    o 
  2    0.98    0.94     1     1    o 
  3    0.99    0.78     1     1    o 
  4    0.99    0.90     1     1    o 
  5    0.99    0.78     1     1    o 
  6    1.00    0.82     1     1    o 
  7    1.00    0.84     1     1    o 
  8    0.99    0.77     1     1    o 
  9    0.98    0.71     1     1    o 
 10    1.00    0.82     1     1    o 
 11    0.98    0.94     1     1    o 
 12    0.99    0.77     1     1    o 
 13    0.98    0.94     1     1    o 
 14    1.00    0.88     1     1    o 
 15    1.00    0.87     1     1    o 
 16    0.97    0.67     1     1    o 
 17    0.99    0.92     1     1    o 
 18    0.98    0.94     1     1    o 
 19    1.00    0.80     1     1    o 
 20    0.97    0.95     1     1    o 
 21    0.95    0.97     2     2    o 
 22    0.86    1.00     2     2    o 
 23    0.74    0.99     2     2    o 
 24    0.32    0.78     2     2    o 
 25    0.60    0.94     2     2    o 
 26    0.85    1.00     2     2    o 
 27    0.93    0.98     2     2    o 
 28    0.25    0.73     2     2    o 
 29    0.65    0.96     2     2    o 
 30    0.97    0.95     1     2    x 
 31    0.94    0.97     2     2    o 
 32    0.97    0.95     1     2    x 
 33    0.84    1.00     2     2    o 
 34    0.77    0.99     2     2    o 
 35    0.95    0.97     2     2    o 
 36    0.79    1.00     2     2    o 
 37    0.82    1.00     2     2    o 
 38    0.98    0.92     1     2    x 
 39    0.78    0.99     2     2    o 
 40    0.75    0.99     2     2    o 
------- recog. rate = 92.50 --------
