NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1   49.58   82.06     1     1    o 
  2   12.46   44.94     1     1    o 
  3   44.71   77.19     1     1    o 
  4   53.17   85.65     1     1    o 
  5   59.17   91.65     1     1    o 
  6   33.42   65.90     1     1    o 
  7   63.45   95.93     1     1    o 
  8   26.55   59.03     1     1    o 
  9   42.75   75.23     1     1    o 
 10   42.95   75.43     1     1    o 
 11   39.45   71.93     1     1    o 
 12   69.32   101.80     1     1    o 
 13   36.57   69.05     1     1    o 
 14   15.53   48.01     1     1    o 
 15   55.40   87.88     1     1    o 
 16   36.47   68.95     1     1    o 
 17   21.93   54.41     1     1    o 
 18   24.33   56.81     1     1    o 
 19   70.38   102.86     1     1    o 
 20    6.69   39.17     1     1    o 
 21   28.06   60.54     1     2    x 
 22   16.35   48.83     1     2    x 
 23    6.89   39.37     1     2    x 
 24   10.60   21.88     1     2    x 
 25    3.85   28.63     1     2    x 
 26   10.79   43.27     1     2    x 
 27   30.70   63.18     1     2    x 
 28   11.77   20.71     1     2    x 
 29    3.02   35.50     1     2    x 
 30   40.20   72.68     1     2    x 
 31   19.27   51.75     1     2    x 
 32   36.07   68.55     1     2    x 
 33   21.12   53.60     1     2    x 
 34    2.61   35.09     1     2    x 
 35   40.80   73.28     1     2    x 
 36    5.39   37.87     1     2    x 
 37    2.86   35.34     1     2    x 
 38   49.83   82.31     1     2    x 
 39    7.58   40.06     1     2    x 
 40    6.99   39.47     1     2    x 
------- recog. rate = 50.00 --------
