NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1    8.72   36.09     1     1    o 
  2   36.72   18.93     2     1    x 
  3    7.23   34.83     1     1    o 
  4   15.83   40.12     1     1    o 
  5   11.38   46.66     1     1    o 
  6   16.25   25.86     1     1    o 
  7   18.16   49.95     1     1    o 
  8   25.29   26.12     1     1    o 
  9   14.15   36.68     1     1    o 
 10    5.57   31.68     1     1    o 
 11   14.89   26.18     1     1    o 
 12   21.59   56.30     1     1    o 
 13   14.41   23.07     1     1    o 
 14   34.59   21.46     2     1    x 
 15   11.97   41.91     1     1    o 
 16   20.41   34.61     1     1    o 
 17   26.39   16.42     2     1    x 
 18   23.47   14.13     2     1    x 
 19   23.28   56.98     1     1    o 
 20   43.51   24.14     2     1    x 
 21   22.01   14.59     2     2    o 
 22   33.35    3.60     2     2    o 
 23   42.22    6.77     2     2    o 
 24   58.44   26.45     2     2    o 
 25   52.30   24.39     2     2    o 
 26   37.16    6.25     2     2    o 
 27   24.03   18.96     2     2    o 
 28   59.78   28.82     2     2    o 
 29   47.22   12.10     2     2    o 
 30   17.52   27.58     1     2    x 
 31   28.59    9.14     2     2    o 
 32   16.84   22.80     1     2    x 
 33   35.47   16.33     2     2    o 
 34   45.35   16.71     2     2    o 
 35   22.78   30.14     1     2    x 
 36   42.42   12.09     2     2    o 
 37   45.64   19.94     2     2    o 
 38   17.13   37.23     1     2    x 
 39   40.84    6.19     2     2    o 
 40   41.94    6.54     2     2    o 
------- recog. rate = 77.50 --------
