NUM    MET1    MET2   RES   ANS  o/x
------------------------------------
  1   82.70   83.07     1     1    o 
  2   172.27   176.75     1     1    o 
  3   67.06   81.87     1     1    o 
  4   149.21   146.54     2     1    x 
  5   22.28   48.11     1     1    o 
  6   101.89   111.06     1     1    o 
  7   120.01   121.91     1     1    o 
  8   173.82   181.29     1     1    o 
  9   133.05   144.46     1     1    o 
 10   36.01   53.41     1     1    o 
 11   96.13   91.38     2     1    x 
 12   65.83   78.54     1     1    o 
 13   60.17   55.98     2     1    x 
 14   187.47   192.87     1     1    o 
 15   102.13   102.92     1     1    o 
 16   181.52   190.95     1     1    o 
 17   106.93   112.25     1     1    o 
 18   57.31   61.35     1     1    o 
 19   103.51   109.44     1     1    o 
 20   224.22   228.65     1     1    o 
 21   51.53   41.80     2     2    o 
 22   47.40   26.51     2     2    o 
 23   42.75    6.80     2     2    o 
 24   156.44   154.81     2     2    o 
 25   194.83   196.62     1     2    x 
 26   62.46   57.96     2     2    o 
 27   120.31   112.08     2     2    o 
 28   184.59   184.33     2     2    o 
 29   62.15   35.14     2     2    o 
 30   129.61   124.10     2     2    o 
 31   53.41   53.33     2     2    o 
 32   87.00   81.20     2     2    o 
 33   160.55   150.06     2     2    o 
 34   140.18   141.06     1     2    x 
 35   185.22   178.95     2     2    o 
 36   101.82   100.71     2     2    o 
 37   176.51   179.04     1     2    x 
 38   161.45   157.58     2     2    o 
 39   46.47   30.23     2     2    o 
 40   41.94    9.93     2     2    o 
------- recog. rate = 85.00 --------
